EUVD,VEDAS
EUVD-1999-0682,0.0
EUVD-1999-0359,0.0
EUVD-1999-0120,0.0
EUVD-1999-0701,0.0
EUVD-1999-0352,0.0
EUVD-1999-0368,0.0
EUVD-1999-0093,0.0
EUVD-1999-0365,0.0
EUVD-1999-0372,0.0
EUVD-1999-0709,0.0
EUVD-1999-0129,1.0000000000287557e-07
EUVD-1999-0718,0.0
EUVD-1999-0378,0.0
EUVD-1999-0371,0.0
EUVD-1999-0307,0.0
EUVD-1999-0720,0.0
EUVD-1999-0714,0.0
EUVD-1999-0133,0.0
EUVD-1999-0728,0.0
EUVD-1999-0660,0.0
EUVD-1999-0655,0.0
EUVD-1999-0376,0.0
EUVD-1999-0382,0.0
EUVD-1999-0400,0.0
EUVD-1999-0360,0.0
EUVD-1999-0702,0.0
EUVD-1999-0727,0.0
EUVD-1999-0696,0.0
EUVD-1999-0393,0.0
EUVD-1999-0391,0.0
EUVD-1999-0373,0.0
EUVD-1999-0278,0.0
EUVD-1999-0675,0.0
EUVD-1999-0736,0.0
EUVD-1999-0725,0.0
EUVD-1999-0735,0.0
EUVD-1999-0737,0.0
EUVD-1999-0459,0.0
EUVD-1999-0396,0.0
EUVD-1999-0381,0.0
EUVD-1999-0387,0.0
EUVD-1999-0392,0.0
EUVD-1999-0354,0.0
EUVD-1999-0377,0.0
EUVD-1999-0732,0.0
EUVD-1999-0734,0.0
EUVD-1999-0724,0.0
EUVD-1999-0708,0.0
EUVD-1999-0384,0.0
EUVD-1999-0397,0.0
EUVD-1999-0448,0.0
EUVD-1999-0390,0.0
EUVD-1999-0389,0.0
EUVD-1999-0458,0.0
EUVD-1999-0370,0.0
EUVD-1999-0267,0.0
EUVD-1999-0386,0.0
EUVD-1999-0449,0.0
EUVD-1999-0455,0.0
EUVD-1999-0404,0.0
EUVD-1999-0474,0.0
EUVD-1999-0465,0.0
EUVD-1999-0405,0.0
EUVD-1999-0407,0.0
EUVD-1999-0500,0.0
EUVD-1999-0410,0.0
EUVD-1999-0388,0.0
EUVD-1999-0096,0.0
EUVD-1999-0099,0.0
EUVD-1999-0403,0.0
EUVD-1999-0103,0.0
EUVD-1999-0102,0.0
EUVD-1999-0394,0.0
EUVD-1999-0401,0.0
EUVD-1999-0094,0.0
EUVD-1999-0198,0.0
EUVD-1999-0402,0.0
EUVD-1999-0194,0.0
EUVD-1999-0409,0.0
EUVD-1999-0184,0.0
EUVD-1999-0097,0.0
EUVD-1999-0279,0.0
EUVD-1999-0193,0.0
EUVD-1999-0200,0.0
EUVD-1999-0385,0.0
EUVD-1999-0276,0.0
EUVD-1999-0281,0.0
EUVD-1999-0197,0.0
EUVD-1999-0291,0.0
EUVD-1999-0285,0.0
EUVD-1999-0283,0.0
EUVD-1999-0195,0.0
EUVD-1999-0408,0.0
EUVD-1999-0192,0.0
EUVD-1999-0379,0.0
EUVD-1999-0287,0.0
EUVD-1999-0680,0.0
EUVD-1999-0689,0.0
EUVD-1999-0666,0.0
EUVD-1999-0692,0.0
EUVD-1999-0673,0.0
EUVD-1999-0685,0.0
EUVD-1999-0205,0.0
EUVD-1999-0686,0.0
EUVD-1999-0656,0.0
EUVD-1999-0668,0.0
EUVD-1999-0699,0.0
EUVD-1999-0139,0.0
EUVD-1999-0011,0.0
EUVD-1999-0305,0.0
EUVD-1999-0667,0.0
EUVD-1999-0694,0.0
EUVD-1999-0665,0.0
EUVD-1999-0142,0.0
EUVD-1999-0704,0.0
EUVD-1999-0296,0.0
EUVD-1999-0116,0.0
EUVD-1999-0298,0.0
EUVD-1999-0432,0.0
EUVD-1999-0683,0.0
EUVD-1999-0706,0.0
EUVD-1999-0711,0.0
EUVD-1999-0705,0.0
EUVD-1999-0717,0.0
EUVD-1999-0684,0.0
EUVD-1999-0710,0.0
EUVD-1999-0687,0.0
EUVD-1999-0723,0.0
EUVD-1999-0730,0.0
EUVD-1999-0707,0.0
EUVD-1999-0726,0.0
EUVD-1999-0511,0.0
EUVD-1999-0716,0.0
EUVD-1999-0191,0.0
EUVD-1999-0729,0.0
EUVD-1999-0722,0.0
EUVD-1999-0721,0.0
EUVD-1999-0715,0.0
EUVD-1999-0499,0.0
EUVD-1999-0672,0.0
EUVD-1999-0300,0.0
EUVD-1999-0662,0.0
EUVD-1999-0273,0.0
EUVD-1999-0677,0.0
EUVD-1999-0731,0.0
EUVD-1999-0676,0.0
EUVD-1999-0268,0.0
EUVD-1999-0309,0.0
EUVD-1999-0104,0.0
EUVD-1999-0733,0.0
EUVD-1999-0719,0.0
EUVD-1999-0712,0.0
EUVD-1999-0476,0.0
EUVD-1999-0482,0.0
EUVD-1999-0481,0.0
EUVD-1999-0464,0.0
EUVD-1999-0475,0.0
EUVD-1999-0506,0.0
EUVD-1999-0480,0.0
EUVD-1999-0463,0.0
EUVD-1999-0456,0.0
EUVD-1999-0460,0.0
EUVD-1999-0483,0.0
EUVD-1999-0442,0.0
EUVD-1999-0503,0.0
EUVD-1999-0436,0.0
EUVD-1999-0446,0.0
EUVD-1999-1256,0.0
EUVD-1999-1274,0.0
EUVD-1999-1270,0.0
EUVD-1999-1271,0.0
EUVD-1999-1278,0.0
EUVD-1999-1286,0.0
EUVD-1999-1300,0.0
EUVD-1999-1294,0.0
EUVD-1999-1301,0.0
EUVD-1999-1041,0.0
EUVD-1999-1043,0.0
EUVD-1999-1051,0.0
